level_0,index,name,duration_ms,popularity,num_markets,album,disc_number,is_explicit,track_number,release_date,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics,region
61,61,Gold Bottles,191666,37,78,Church In These Streets,1,True,4,2015-11-13,Jeezy,0.77,0.763,0,-3.881,1,0.0516,0.248,0,0.232,0.381,133.059,4,"[Produced by London on da Track]

[Intro]
What?
Uh-huh
Yeah, yeah
Uh-huh
You know what this is, nigga?
When this shit come on in the club...
(We got London On Da Track) Awoooo!

[Hook]
ARs over here, they pop like gold bottles
47s over here, they pop like gold bottles
Ain't no bitches in the section, you got no bottles
Nigga we winnin' over here, we poppin' gold bottles
Tell me why my wrist look like them gold bottles
Shit around my neck look like some gold bottles
One thing about them ho, they love them gold bottles
Extendos for my foes they pop like gold bottles

[Verse 1]
Motherfuck all ya'll niggas, yeah, ya'll thought I was over
Give a fuck about this rap shit, really done it with soda
Got me booked in your city, then that's one happy promoter
Give a fuck if it Dade County, B-more, or Dakota
My nigga told me to cook it, yeah you know it was over
See I didn't wait no time, I went and whipped me a Rover
Heavy in that new pussy just like a new Maserati
Talkin' wax on wax off just like I'm Mr. Miyagi
Don't make us light up that Benz boy like that scene off of Belly
Run with them lunatics, Derrty Ent. like they Nelly
I spent a mil on my hood, I'm like fuck a Bugatti
But when you get your first mil they think that you Illuminati

[Hook]
ARs over here, they pop like gold bottles
47s over here, they pop like gold bottles
Ain't no bitches in the section, you got no bottles
Nigga we winnin' over here, we poppin' gold bottles
Tell me why my wrist look like them gold bottles
Shit around my neck look like some gold bottles
One thing about them ho, they love them gold bottles
Extendos for my foes they pop like gold bottles

[Verse 2]
Fuckin' em like a scene I got my balls and my word
Only thing that we celebrate is the first and the third
No jeans True Religion
Five piece new edition
I moved them shits like magician
Then went and copped new edition
Them bucket full on my table
Pop them shits like I’m J-Bo
My nigga move when I say so
Chi-chi don't forget the yayo
I'm in my spaceship on bankhead, told that bitch I'm on Fabo
I want that heavenly head, I told her get me that halo
If it's ever an issue, that big gone blow like a whistle
If you come in my section tonight your nigga gone miss you
Aisle three off in Publix, that boy was holdin' the bread
Had to call that boy Flipper that left a hole in his head

[Hook]
ARs over here, they pop like gold bottles
47s over here, they pop like gold bottles
Ain't no bitches in the section, you got no bottles
Nigga we winnin' over here, we poppin' gold bottles
Tell me why my wrist look like them gold bottles
Shit around my neck look like some gold bottles
One thing about them ho, they love them gold bottles
Extendos for my foes they pop like gold bottles",south
62,62,Hell You Talkin Bout,151013,33,78,Church In These Streets,1,True,5,2015-11-13,Jeezy,0.53,0.618,2,-5.918,0,0.217,0.202,0,0.214,0.401,182.114,4,"[Hook]
On ten never four hell you talkin' 'bout
See my niggas gone go hell you talkin' bout
Fuck them rich niggas round your way hell you talkin' 'bout
(We got London On Da Track)
Still letting that chopper spray hell you talkin' 'bout
Yea we bout to celebrate hell you talkin' 'bout
Fuck em let em hate hell you talkin' 'bout
Homie ain’t no other way hell you talkin' 'bout
What we do this everyday Hell you talkin' 'bout

[Verse 1]
Thought I just seen Jizzle wit 100 gang bangers
100 dope boys, that’s 100 chains dangling
Real niggas to the front bitch niggas to the rear
Snuck it in wit me barrel like a bottle Belvedere
Screamin thug life nigga rich nigga thugged out
I will show nosey ass nigga what these slugs bout
Ain't no playin pussy nigga yea you know my reputation
Ain't wit no playing pussy nigga so won't be no hesitation
They hate it when I’m walkin' in I’m getting all that love
They keep callin' my name like I own this club
Ain't gotta ask the valet cause you know who's in it
And my shit in my name so you know who's rented
Now how can one man have all that power
Now how can one man talk all that powder
Why you keep talkin' yola cause I really cooked that
I just came to give the bad bitches something to look at

[Hook]
On ten never four hell you talkin' 'bout
See my niggas gone go hell you talkin' bout
Fuck them rich niggas round your way hell you talkin' 'bout
Still letting that chopper spray hell you talkin' 'bout
Yea we bout to celebrate hell you talkin' 'bout
Fuck em let em hate hell you talkin' 'bout
Homie ain’t no other way hell you talkin' 'bout
What we do this everyday Hell you talkin' 'bout

[Verse 2]
Yo what's wrong with the bitch, boy she know she look good
She don’t want you nigga she like hers a 'lil hood
Told her pull up to the spot baby bring your mouth too
Got that condo pussy might just have to house you
Something wrong with your wrist boy ya watch game off
You niggas ain't poppin' boy, ya pop game off
And fuck how her pussy feel yea that still my attitude
And boy them clips so long we just call em latitude
When I talk that shit them dope boys go crazy
One thing you never seen a dope boy that lazy
Catch me on my Denzell tryna get my Frank on
And don’t be talkin' me to death I'm tryna get my drank on ayyyyye!

[Hook]
On ten never four hell you talkin' 'bout
See my niggas gone go hell you talkin' bout
Fuck them rich niggas round your way hell you talkin' 'bout
Still letting that chopper spray hell you talkin' 'bout
Yea we bout to celebrate hell you talkin' 'bout
Fuck em let em hate hell you talkin' 'bout
Homie ain’t no other way hell you talkin' 'bout
What we do this everyday Hell you talkin' 'bout",south
63,63,Hustlaz Holiday,207453,32,78,Church In These Streets,1,True,6,2015-11-13,Jeezy,0.78,0.416,1,-6.712,1,0.157,0.165,0,0.0709,0.125,129.992,4,"[Intro]
Grind never stop man
I don't give a fuck how much money you got my nigga
I don't give a fuck how rich you is nigga
You still gotta hustle
It's a holiday everyday nigga

[Hook]
I got hustlin' on my resume
I didn't think they'd never ever hear the hustler's say
(That he didn't wanna hustle no more)
No more, no more, no more, no more, no more
And this a hustlin' holiday
Wouldn't make it never ever hear a hustler say
That he don't wanna hustle no more
No more, no more, no more, no more, no more

[Verse 1]
We hustle on our birthdays, we hustlin' on Christmas
Don't care if it's my worst day, the kid gone get their cream up
Got eyes on the prize, yeah, eye of the tiger boy
If we talkin' hustlin' you know who the messiah boy
What a hustler need a bed for? I ain't tryna lay down
When you on the come up, all I know is stay down
You don't see me at the club nigga
I don't see you at the bank though
When I walk up in that bank nigga
I walk in through that back door
I can't lie, I love the grind
I can't even stay awake
Here you go, I love you momma
I even hustle on mother's day
Kept me hustlin' Thanksgivin'
Stack it like a black Jew
Just know today a holiday for hustlin' niggas like you

[Hook]
I got hustlin' on my resume
I didn't think they'd never ever hear the hustler's say
(That he didn't wanna hustle no more)
No more, no more, no more, no more, no more
And this a hustlin' holiday
Wouldn't make it never ever hear a hustler say
That he don't wanna hustle no more
No more, no more, no more, no more, no more

[Verse 2]
Hustle Monday through Monday
And we ain't missin' one day
We all gone be rich one day
Put that on God on Sunday
If you lazy bitch, stay away
We even hustle on Labor Day
And I ain't been home all week
I wonder what the neighbors say
Ain't no such thing as ""I can't""
If I want I get that
They talkin' bout how you fell off
When it's all about how you get back
Hustle every minute, every hour
Shit can go from sweet to sour
Right from sour back to sweet
You just practice what you preach
We don't do no vacays
We hustle every day nigga
Just send you on that vacay
We count our paper, pray nigga
Hustlers don't get no sleep
You niggas stay sleeping
I've been griding all week
I'm hustle at weekends

[Hook]
I got hustlin' on my resume
I didn't think they'd never ever hear the hustler's say
(That he didn't wanna hustle no more)
No more, no more, no more, no more, no more
And this a hustlin' holiday
Wouldn't make it never ever hear a hustler say
That he don't wanna hustle no more
No more, no more, no more, no more, no more",south
65,65,GOD,208506,38,78,Church In These Streets,1,True,8,2015-11-13,Jeezy,0.813,0.543,10,-7.011,1,0.0442,0.189,0,0.0627,0.156,90.54,4,"[Hook]
I'm a god in the hood, nigga
I'm a god in the hood, nigga
I'm a god in the hood, nigga
I'm a god in the hood, nigga

[Verse 1]
Young five-eight talk like he ten feet tall
Chopper make a nigga jump a ten foot wall
Avión and gold bottles, this is hood royalty
No matter how broke, how rich
Nigga, never ever compromise your loyalty
Medusa head on my Versace robe
Standing on a pile of white bricks
Imagine crosses on the units
Stamps looking like a crucifix
Pure like the blood of Virgin Mary
Turn water to some wine, nigga
Plug did a touchdown
Met him at the Steak 'n Shake in Mt. Zion, nigga

[Hook]
I'm a god in the hood, nigga
I'm a god in the hood, nigga
I'm a god in the hood, nigga
I'm a god in the hood, nigga

[Verse 2]
Young five-eight talk like he ten feet tall
Chopper make a nigga jump a ten foot wall
God shit, I'm on my Kanye
Bad bitch she my Kim K
Legend is that he made a million dollars
But the nigga really started with a four-way
Whom shall I fear, nigga
The plug say it's no limits
I sent the man right here, nigga
Snatch a partner out the state pen
Hallejulah, amen
Pull a little water from the sink
Hope it wash away the sin, nigga
The foe did a touchdown
Met him at the Chanterelle’s in West End, nigga

[Hook]
I'm a god in the hood, nigga
I'm a god in the hood, nigga
I'm a god in the hood, nigga
I'm a god in the hood, nigga

[Outro]
Young five-eight talk like he ten feet tall
Chopper make a nigga jump a ten foot wall
Young five-eight talk like he ten foot tall
Chopper make a nigga jump a ten foot wall",south
66,66,Church In These Streets,187573,37,78,Church In These Streets,1,True,9,2015-11-13,Jeezy,0.791,0.592,2,-6.267,1,0.064,0.0101,0,0.133,0.267,134.045,4,"[Produced by Zaytoven]

[Intro]
Yeah
Oh man, you know what this shit is my nigga
I'd be lying to you if I wasn't telling you the truth. You know?
Bow heads, let's pray
I just call it how I see it my nigga
I don't know no other way, you know?
Need everybody to  gather 'round, know what I'm sayin'?
I got somethin' to say
Yeah, church off in these streets my nigga
Came to bring the good word
Pastor Young, amen, amen
Yeah
Yeah, yeah
[Hook]
Where my street disciples? Church off in these streets
Call my congregation, church off in these streets
Call me Pastor Young, I came to spread the word
Spread the word like my partner spray them birds
If you gettin' it how you live it, just say hallelu
If you out here and you poppin', best to have your shooter
I said it and I meant it so you know it deep
I came to spread the word, it's church off in these streets

[Verse 1]
Heard he took a unit, broke it down to singles
Take them one by one just like them bitches Pringles
Heard he lost it all and then he got it back
All them folks a tell that's why I got attacked
I'm in this bitch, I'm feelin' like a million dollars
Okay I'm loungin' know I'm short a million dollars
The first around the corner got a nigga stressed
Just hope he send a blessin' off in my direction, hey

[Hook]
Where my street disciples?  Church off in these streets
Call my congregation, church off in these streets
Call me Pastor Young, I came to spread the word
Spread the word like my partner spray them birds
If you gettin it how you live it, just say hallelu
If you out here and you poppin', best to have your shooter
I said and I meant it so you know it deep
I came to spread the word, church off in these streets

[Verse 2]
My nigga got a plug and then he got indicted
Saw him in that foreign thing then got excited
Graduated from the streets and I ain't have a tutor
If you see another day then just say hallelujah
Ain't no fuckin' secret, know I came from nothin'
Told myself that I'mma go and grind for somethin'
Hustle cause I gotta splurge when I can
Just know you lookin' at a God-fearin' man

[Hook]
Where my street disciples?  Church off in these streets
Call my congregation, church off in these streets
Call me Pastor Young, I came to spread the word
Spread the word like my partner spray them birds
If you gettin' it how you live it , just say hallelu
If you out here and you poppin', best to have your shooter
I said it and I meant it so you know it deep
I came to spread the word, it's church off in these streets",south
67,67,New Clothes,225573,30,78,Church In These Streets,1,True,10,2015-11-13,Jeezy,0.665,0.735,2,-5.942,1,0.279,0.0214,0,0.678,0.757,127.941,4,"[Ad-lib]

[Hook]
If they ever ask you why you weigh them O’s
Tell them mufuckas to buy some brand new clothes
Only one way to go and get them hoes
Fall up in this bitch in some brand new clothes
Grandma used to tell me boy you love that mall
Catch me bouncing through this bitch new socks, new drawers
My niggas breaking down pounds I’m talkin' straight elbows
Bout to make a play and go and get some brand new clothes

[Verse 1]
As fresh as I is baby as fine as you are
I think you been in the dark girl what you need is a star
Thanks to the fork and the recipe I’m a local celebrity
Plus I got all this creed on so you probably smelling me
Yeah I look like a fed charge bout to catch me a felony
Boy you look like some money man in the mirror be tellin' me
They say boy how you feel I say as good as I’m looking
This fresh it should be a crime read his Mirandas and book 'em
A million dollars for bail, tell the judge go to hell
As you see beat the case then I got back to my mail
They had ya boy in the county, bologna sandwiches sick
When I stepped out that county boy I was fresh then a bitch

[Hook]
If they ever ask you why you weigh them O’s
Tell them mufuckas to buy some brand new clothes
Only one way to go and get them hoes
Fall up in this bitch in some brand new clothes
Grandma used to tell me boy you love that mall
Catch me bouncing through this bitch new socks, new drawers
My niggas breaking down pounds I’m talkin' straight elbows
Bout to make a play and go and get some brand new clothes

[Verse 2]
That shit that they tryna do, look I already done it
What the fuck they gone run cause I already run it
Let's just keep it 100, let's just keep it a buck
If it come out my mouth you know that shit adding up
And the way that I’m feeling I might just fuck up the re-up
Just know they won't touch my feet if them shits don’t cost a G up
Baby shoes is a stack and my belt is a rack
You know you ain’t even goin' out, you got fresh for the trap
Some nigga die 'bout this paper because they can’t live without it
Swear that shit make a local nigga buy something exotic
Just know that I blew a check, so I can get me some love
Just make it part like the red sea when I walk in the club

[Hook]
If they ever ask you why you weigh them O’s
Tell them mufuckas to buy some brand new clothes
Only one way to go and get them hoes
Fall up in this bitch in some brand new clothes
Grandma used to tell me boy you love that mall
Catch me bouncing through this bitch new socks, new drawers
My niggas breaking down pounds I’m talkin' straight elbows
Bout to make a play and go and get some brand new clothes

[Ad-lib]",south
68,68,Sweet Life,251133,37,78,Church In These Streets,1,True,11,2015-11-13,Jeezy,0.641,0.616,1,-5.578,1,0.32,0.0241,0,0.239,0.402,147.823,4,"Yeah, yeah [?]
Mamy
Yeah, yeah
I'm in
[?]
Sweet life
Yeah, yeah
Sweet life [?]
[?]
What, what
Let go

[Chorus: Janelle Monáe]
Sweet life, oh my, you turn this to light
All the darkness, scattered out of sight
I've been waiting on this for some time
Now that it's here, I'm going to be fine

[Verse 1: Jeezy]
When my back's against the wall then I react
The point of no return, hey it ain't no comin' back
Ask me what the difference is, I got everything they lack
And I really touched that bag, see I really had a sack
I done been to Hell and back, I seen Lucifer himself
I seen niggas pawn their souls cause they ain't got nothin' left
(Damn)
Fuck all that hopin' and wishin', my nigga, play your position
I know you thought I wasn't lookin' but I was payin' attention
No you can't see through my shades, just know I'm smilin' inside
It's like the old me deceased, I'm kinda glad that I died
This that new and improved, this that I'm in the mood (in the mood)
You know he don't like to lose so why y'all fuckin' with dude?
Hey look it could be that Pac in me, or maybe my prophecy
Won't let you drive me crazy, it's like I studied psychology
Ask me my occupation, I say I live for a livin'
Now what you see when you see me? I did alright for a villain
My sweet life

[Chorus: Janelle Monáe]
Sweet life, oh my, you turn this to light
All the darkness, scattered out of sight
I've been waiting on this for some time
Now that it's here, I'm going to be fine

[Verse 2: Jeezy]
I guess the haters ain't so bad after all
I'm lookin' forward to my haters comin' after y'all
Boy you sure had me fooled, you should've been an actor, dawg
My success, it make you drunk like you've been drinkin' alcohol
Yeah I'm 'bout to go so hard, I'ma make these niggas sick
Ain't no neutral, what's your side? I'ma make you niggas pick
Hey I don't know everything, I just know what I know
Why would you follow them niggas? They don't even know where to go
Won't see me do no complainin', maybe some rearrangin'
Now let's get this understood, sometimes some change can be good
Could be good, could be great, your destiny or your fate
If I wasn't a ghetto prophet I'd still be movin' the weight
(weight)
Yeah you know when I'm winnin', you see me out and i'm grinnin'
Been chasin' paper since Monday, that's 7 days I've been sinnin'
Count your chances and blessings cause they're all God-given
I guess the big magic question is how did I dodge prison?
My sweet life

[Chorus: Janelle Monáe]
Sweet life, oh my, you turn this to light
All the darkness, scattered out of sight
I've been waiting on this for some time
Now that it's here, I'm going to be fine
Yeah
Sweet life
Oh my
Sweet life, sweet life
So sweet
God bless
There's no more left",south
69,69,Scared Of The Dark,219386,32,78,Church In These Streets,1,True,12,2015-11-13,Jeezy,0.419,0.617,1,-5.651,1,0.35,0.0481,0,0.109,0.199,70.465,5,"[Hook]
Scared of the dark, scared of the dark
You niggas is scared of the dark
Scared of the dark, scared of the dark
You niggas is scared of the dark
They all want the light, they all want to shine
They all want to shine, they all want the light
They all want to shine, they all want to shine

[Verse 1]
No body building but I stay flexin'
Executioner fresh, I’m bout to dome check 'em
All my bad bitches got they own section
Do they own grinding, pay they own bills
Full of liquor yeah I’m hella tipsy
Talkin' bitches, yeah I’m hella picky
Great white I’m goin Jaws on 'em
Kyrie Irving I’m 'bout to ball on 'em
Nigga switching teams like the draft nigga
Nigga left the Cavs joined the Mavs nigga
Had a vision nigga, I’m a visionary
They should put your picture in the dictionary
Right next to ungrateful nigga, you the definition
With yo' ungrateful ass I was in denial had to face it nigga
Can’t do epic shit fucking wit basic niggas cause they

[Hook]
Scared of the dark, scared of the dark
You niggas is scared of the dark
Scared of the dark, scared of the dark
You niggas is scared of the dark
They all want the light, they all want to shine
They all want to shine, they all want the light
They all want to shine, they all want to shine

[Verse 2]
Crumbs to brick yea I’m a made nigga
Busting juggs and licks made me a paid nigga
Couple flaw niggas done went awol
This a real nigga role call
If her head crazy, I’ma kill the body
Just killed my show now where the after-party
Woke up pissing champagne
Woke up drunk the same thang
I was tryna help you get ya bread up
I’m the type to help you hit the bread truck
Plug blessed me so I had to bless niggas
Living stress free tryna stress niggas
Fuck you think he got a name from
Fuck you think he got the game from
Woke up every morning getting paid nigga
When the sun went down you got afraid nigga cause you

[Hook]
Scared of the dark, scared of the dark
You niggas is scared of the dark
Scared of the dark, scared of the dark
You niggas is scared of the dark
They all want the light, they all want to shine
They all want to shine, they all want the light
They all want to shine, they all want to shine

[Verse 3]
Type of nigga be pocket watchin
Type of nigga be clique hoppin
Yo' table then my table then yo' table then they back again
Type of nigga be in all ya pictures
Some of you niggas worse then ya bitches
Every nigga in my section like family nigga
Rolex’ like Grammys nigga
Raise ya bottles lets make a toast
To them pussy niggas that you hate the most
Fresh to head to toe bag money
Magnum bottles the jag money fake niggas
Throwin gang signs nigga
All the chains got hang time
Follow the sparkles tryna chase the light type of nigga
Be out every night cause they

[Hook]
Scared of the dark, scared of the dark
You niggas is scared of the dark
Scared of the dark, scared of the dark
You niggas is scared of the dark
They all want the light, they all want to shine
They all want to shine, they all want the light
They all want to shine, they all want to shine",south
70,70,No Other Way,213093,31,78,Church In These Streets,1,True,13,2015-11-13,Jeezy,0.736,0.588,2,-6.199,1,0.075,0.00467,0,0.101,0.399,135.124,4,"Yeah I’m street smart nigga plus my heart as tuff as penitentiary bars nigga
You gon' boss or you gon' fold nigga I don’t give a fuck no more

[Chorus]
Cause there ain’t no other way
Just know I'm standing taller than I ever stood
For every real nigga off in every hood
Cause there ain't no other way
When the pressure on I hustle hard
Talkin' money longer than a Marta
Cause there ain't no other way
You pussy niggas plotting on my downfall
Pussy niggas know how I get down dog
Cause there ain't no other way
Won't lose rather die won't quit rather try roll something
Cause there ain't no other way

[Verse 1: Jeezy]
Fuck all y'all monkey niggas,  y'all sweat from my fuckin' balls
Just know I’ll leave this bitch and go straight home to fuck ya broad
That boy reincarnated he came back too hard
He hungry as a muthafucka, them folks took his black card
It's back to the basics like they gone repo my shit
Me and Pinkney on Papa Street, we was broke than a bitch
Know you vultures your waiting back focused you're hating
It must be something in this weed I feel rejuvenated
If he keep speaking on me than he can't be my homie
Listen to gossip 'bout real niggas that make you a phony
Talkin' birdies no wings 8 ball and a dream
If anything I owe Goldmouf he took one for the team

[Chorus]
Cause there ain’t no other way
Just know I'm standing taller than I ever stood
Every real nigga off in every hood
Cause there ain't no other way
When the pressure on I hustle hard
Talkin' money longer than a Marta
Cause there ain't no other way
You pussy niggas plotting on my downfall
Pussy niggas know how I get down dog
Cause there ain't no other way
Won't lose rather die won't quit rather try roll something
Cause there ain't no other way

[Verse 2: Jeezy]
I refuse to lose I paid my dues Jizzle lost it April Fools
Never bite the hand that feed you, put you down you know the rules
You niggas ain't got a hustling bone in your body
Penthouse mindstate while you talkin' 'bout the lobby
Why my name all on your lips while that Ana in your heart
Keep on playing with me pussy beat yo ass so help me God
If I know one thing I know you ain't to be trusted
You know anything you know I ain't to be fucked with
Got real shit goin' on, bill shit goin' on
Hustle is terrific and my grinding is exquisite
Talking birdies no wings 8 ball and a dream
If anything I owe Mailman he took one for the team

[Chorus]
Cause there ain’t no other way
Just know I'm standing taller than I ever stood
Every real nigga off in every hood
Cause there ain't no other way
When the pressure on I hustle hard
Talkin' money longer than a Marta
Cause there ain't no other way
You pussy niggas plotting on my downfall
Pussy niggas know how I get down dog
Cause there ain't no other way
Won't lose rather die won't quit rather try roll something
Cause there ain't no other way",south
71,71,Sister Good Game's Testimony,89853,25,78,Church In These Streets,1,True,14,2015-11-13,Jeezy,0.614,0.413,8,-10.972,0,0.389,0.386,1.28e-05,0.0832,0.288,128.497,4,"[Good Game Auntie Talking]
You know I went to sleep no stressing
And I woke up to a blessing
I got the whole city back guessing
""How in the hell she catch that blessing?""

Give em the game for free, I really should have charged a fee
All this killing in the streets
Black on black crime
Young men taking life, and you're putting em in your own hands
But let me give you a little game, and a little knowledge (chuckles)
You better pay close attention to this, right
The killing must stop
Y'all black mens, it's bigger than that

As soon as you get banged up, right?
You'll be down that joint, with two suit and a lock up
No green dots, no Visits
Your main bitch, you know where she be at, right?
Fucking your bottom nigga, your best nigga
So you better think
You think about what lives you're going to destroy
How many families you're gon' hurt

But guess what, you lose everything
Right before you go to sleep at night, you pray
You pray to God for a change
You gotta change
Free every nigga in the chain gang
Free my son
Free my family",south
72,72,J BO,207866,31,78,Church In These Streets,1,True,15,2015-11-13,Jeezy,0.626,0.654,11,-6.377,1,0.407,0.022,0,0.0443,0.532,128.096,4,"[Hook]
Roll up the swishers, get money lay low
Just ask them bitches I ball like J Bo
Rose’ we piss it, get money lay low
Shine in my pictures, pull up like J Bo
Death before dishonor I put that on my mama (like JBo)
Shine in all my pictures (pull up like JBo)
Rose’ and them swishers (pull up like JBo)
I want that Corvette and that Audemar
Compartments all in my other car
Light show at my table, 100 bottles like J Bo Bitch!

[Verse 1: Jeezy]
I know some real niggas doing real time
Snitches out here living real fine
I know the lawyer bought in didn’t wait on him
Road dog done went state on him
Talking Audemar that AP
Too cold talking AC
No procrastination, no stalling
We ain’t falling, we balling
Still up ain’t fell yet
Probably why them niggas upset
Tryna throw me off I’m too smart on them
Swear its too easy to make it hard on them
Cup full I’m in my own zone
Got hustling all in my chromosome
Do this shit for them havenots
Represent the struggle, I’m the mascot
Stay low key when you grinding
So when they see ya you shining
Rose gold, sky dweller, grown man no diamonds
Summer time with those links on
Winter time with those minks on
Want a light show at my table
Bottles coming like JBo bitch

[Hook]
Roll up the swishers, get money lay low
Just ask them bitches I ball like J Bo
Rose’ we piss it, get money lay low
Shine in my pictures, pull up like J Bo
Death before dishonor I put that on my mama (like JBo)
Shine in all my pictures (pull up like JBo)
Rose’ and them swishers (pull up like JBo)
I want that Corvette and that Audemar
Compartments all in my other car
Light show at my table, 100 bottles like J Bo Bitch!

[Verse 2: Jeezy]
Make a movie off in the parking lot what you call that
Drive thru valet on click-clack, got the bottles coming like 6 packs
Keep 'em coming like Bud Lights when you living that plug life
Me and J Beezy we back to back
Dude behind us in his Maybach
Murcielago with those shades on
Nigga hood fresh with them J’s on
Was the first nigga in that new Vette
With Forgies on it  and it was offset
Violate we gone demonstrate
So much smoke we need to ventilate
They knew better, they do better
New jeans on  new leather
Stay in black big Darth Vader
Duffle bag and it's full of paper
Got paper want more paper
Ain't got enough want more haters
Club night nigga every night when you living that club life
Fuck the couch we on the table
Bottles coming like J Bo bitch

[Hook]
Roll up the swishers, get money lay low
Just ask them bitches I ball like J Bo
Rose’ we piss it, get money lay low
Shine in my pictures, pull up like J Bo
Death before dishonor I put that on my mama (like JBo)
Shine in all my pictures (pull up like JBo)
Rose’ and them swishers (pull up like JBo)
I want that Corvette and that Audemar
Compartments all in my other car
Light show at my table, 100 bottles like J Bo Bitch!",south
73,73,I Feel Ya,208960,29,78,Church In These Streets,1,True,16,2015-11-13,Jeezy,0.735,0.504,1,-7.484,1,0.0741,0.00379,0,0.135,0.158,128.964,4,"[Chorus]
Put your fam on your back boy I feel ya
Put your hood on the map boy I feel ya
You ain't got to say a word boy I hear ya
That shit you talking about sounds so familiar
Can't make a move without the strap boy I feel ya
Been up a month ain’t took a nap boy I feel ya
That shit you going through sounds so familiar
That’s why I feel ya

[Verse 1: Jeezy]
Nothing comes a surprise you got that blood in your eye
These bitches give you a chance you’ll take this world by surprise
Incarceration fatalities just a nigga reality
Know we moving the weight, know we ain't burning calories
Only got one chance and this is it
Or you gone be like your daddy and don't be shit
'Bout to take some shit that’s as deep as ocean water
Just left a funeral my nigga had to bury his daughter
You can get finessed by your partna and get shot by a coppa
Caught my lil cousin slippin' took off his leg with that choppa
You just go hard nigga and Imma go hard with ya
Then we gone meet at the spot and we gone drink hard liquor
(What's happening niggaaa)

[Chorus]
Put your fam on your back boy I feel ya
Put your hood on the map boy I feel ya
You ain't got to say a word boy I hear ya
That shit you talking about sounds so familiar (Yeahhhhh)
Can't make a move without the strap boy I feel ya
Been up a month ain’t took a nap boy I feel ya
That shit you going through sounds so familiar
That’s why I feel ya

[Verse 2: Jeezy]
We know they don’t give a damn we gives a fuck
Every time this world knocks us down we get back up (what up)
I just wanna come and buy a crib for my momma
Let her know her oldest son sorry for the drama
Just know I even shit with that 40 I gotta have it
Only thing that kept me alive guess that’s a habit
Cause niggas starving out here boy like this shit is Ramadan
My city is a war zone call it Little Vietnam
R.I.P to Peanut rest in peace Lil Kev
Can't forget Lil Mike he use to roll em all night movie
Free my nigga Neecho, Took care of the hood so he a neighborhood hero (Whats happening nigga)

[Chorus]
Put your fam on your back boy I feel ya
Put your hood on the map boy I feel ya
You ain't got to say a word boy I hear ya
That shit you talking about sounds so familiar (Yeahhhhh)
Can't make a move without the strap boy I feel ya
Been up a month ain’t took a nap boy I feel ya
That shit you going through sounds so familiar
That’s why I feel ya",south
74,74,Go Get It Interlude,89493,25,78,Church In These Streets,1,True,17,2015-11-13,Jeezy,0.564,0.295,6,-12.387,1,0.0338,0.904,0.000751,0.129,0.667,79.896,4,"[Interlude: Jeezy]
For every time you bullshitted
Does that make you want to go get it?
(make you want to go get it)
This make you want to go get it

For every time you bullshitted
Does that make you want to go get it?

Every time you bullshitted
Did that make you want to go get it?
(make you want to go get it)
Did that make you want to go--
Does that make you want to go get it?
Every time you bullshitted
Does that make you want to go get it?
Don't that make you want to go get it?

Want it nigga? You should have it
Taking no for an answer
This that make you wanna go get it
Don't that make you want to go get it?
Every time you bullshitted
Does that make you want to go get it?

Make you want to go get it?
Make you want to go get it?
Every time you bullshitted
Make you want to go get it?

Yeah",south
